Assembly,original,corrected,RefSeq.Accession.version,GenBank.Accession.version,NCBI.name
Fundulus_heteroclitus-3.0.2,Scaffold158,Scaffold158,NW_012224559.1,KN805683.1,GPS_009135881.1
Fundulus_heteroclitus-3.0.2,Scaffold159,Scaffold159,NW_012224560.1,KN805684.1,GPS_009135882.1
Fundulus_heteroclitus-3.0.2,Scaffold160,Scaffold160,NW_012224561.1,KN805685.1,GPS_009135883.1
Fundulus_heteroclitus-3.0.2,Scaffold161,Scaffold161,NW_012224562.1,KN805686.1,GPS_009135884.1
Fundulus_heteroclitus-3.0.2,Scaffold162,Scaffold162,NW_012224563.1,KN805687.1,GPS_009135885.1
Fundulus_heteroclitus-3.0.2,Scaffold163,Scaffold163,NW_012224564.1,KN805688.1,GPS_009135886.1
Fundulus_heteroclitus-3.0.2,Scaffold164,Scaffold164,NW_012224565.1,KN805689.1,GPS_009135887.1
Fundulus_heteroclitus-3.0.2,Scaffold165,Scaffold165,NW_012224566.1,KN805690.1,GPS_009135888.1
Fundulus_heteroclitus-3.0.2,Scaffold166,Scaffold166,NW_012224567.1,KN805691.1,GPS_009135889.1
Fundulus_heteroclitus-3.0.2,Scaffold167,Scaffold167,NW_012224568.1,KN805692.1,GPS_009135890.1
Fundulus_heteroclitus-3.0.2,Scaffold168,Scaffold168,NW_012224569.1,KN805693.1,GPS_009135891.1
Fundulus_heteroclitus-3.0.2,Scaffold169,Scaffold169,NW_012224570.1,KN805694.1,GPS_009135892.1
Fundulus_heteroclitus-3.0.2,Scaffold170,Scaffold170,NW_012224571.1,KN805695.1,GPS_009135893.1
Fundulus_heteroclitus-3.0.2,Scaffold171,Scaffold171,NW_012224572.1,KN805696.1,GPS_009135894.1
Fundulus_heteroclitus-3.0.2,Scaffold172,Scaffold172,NW_012224573.1,KN805697.1,GPS_009135895.1
Fundulus_heteroclitus-3.0.2,Scaffold173,Scaffold173,NW_012224574.1,KN805698.1,GPS_009135896.1
Fundulus_heteroclitus-3.0.2,Scaffold174,Scaffold174,NW_012224575.1,KN805699.1,GPS_009135897.1
